time;battery_voltage_computer;battery_current_computer;battery_voltage_husky;battery_current_husky;position_x;position_y;position_z;orientation_x;orientation_y;orientation_z;orientation_w;velocity_x;velocity_y;velocity_z;angular_x;angular_y;angular_z;linear_acceleration_x;linear_acceleration_y;linear_acceleration_z;temperature;humidity;route;speed;payload
0.0;25.687559127807607;-3.265013694763184;23.730831146240234;-5.500565528869629;-79.94552834105691;40.44368971738918;247.11299175465103;-0.009318262338638306;-0.010192390531301498;0.9998420476913452;0.011191576719284058;0.02224876817682941;-0.01128313248226433;0.012504226098352642;0.002195556415244937;-0.0013704231241717935;0.0014185060281306505;-0.20269941335543992;-0.1829564907029272;-9.812502608299255;30.106937408447266;28.325180053710927;A;1.0;12
0.1;25.686302185058594;-3.226151704788208;23.71743202209473;-5.399636745452881;-79.94552836725956;40.44368972769517;247.1143039732576;-0.009318262338638306;-0.010192390531301498;0.9998420476913452;0.011191576719284058;0.022277463784546703;-0.01066796047546483;0.014713758311215863;-0.00023879154468886557;-0.0020702152978628874;0.0016418751329183578;-0.19573896093294024;-0.1839693929068744;-9.820613865852357;30.106937408447266;27.97743225097656;A;1.0;12
0.2;25.687559127807607;-3.2196745872497563;23.730831146240234;-5.096851348876953;-79.94552839382756;40.44368973810421;247.11568823152786;-0.009319301694631577;-0.010191474109888077;0.9998420476913452;0.01119153294712305;0.022354717099076958;-0.01141990443774955;0.014851462552494471;2.350134855078068e-05;0.00014815546455793083;-0.00345651782117784;-0.1989493564143777;-0.1847082068771124;-9.810819779634476;30.11196327209473;28.13489532470703;A;1.0;12
0.3;25.69635391235352;-3.109565734863281;23.82127952575684;-5.130494594573975;-79.94552834022508;40.443689651259106;247.11816951328515;-0.009310788474977016;-0.010189991444349287;0.99984210729599;0.011192440055310726;0.01564533360895311;-0.013441150607989548;0.012637518163098162;0.0013307527406141162;-0.001884828438051045;-0.0022502886131405826;-0.1974389109760523;-0.182528821695596;-9.796705770492554;30.116987228393555;28.123912811279297;A;1.0;12
0.4;25.6209716796875;-2.9800257682800293;23.79783058166504;-5.265065670013428;-79.9455283587052;40.443689663282754;247.11954088205098;-0.009312068112194538;-0.010190021246671677;0.9998421669006348;0.011192419566214085;0.015716267029369384;-0.013909504387547877;0.013375188239824571;-0.0027329602744430304;-0.0017425443511456251;-0.0005856532952748237;-0.1972802138887346;-0.18293012341484427;-9.802643617987632;30.116987228393555;28.096742630004893;A;1.0;12
0.5;25.67750740051269;-3.1160426139831543;23.87152862548828;-5.096851348876953;-79.945528356783;40.44368951047935;247.12161148035526;-0.009313403628766537;-0.010205299593508244;0.9998419880867004;0.011191223748028278;0.017066129111113486;-0.001555718853937224;0.012870787744456965;0.0023510141763836145;0.0013697050744667651;-0.0006089501548558474;-0.19923389654606585;-0.18362574107944965;-9.807267011404038;30.106937408447266;28.1132755279541;A;1.0;12
0.61;25.720224380493164;-3.0577497482299805;23.81122970581055;-5.2314229011535645;-79.94552837729775;40.44368951219701;247.1229449703693;-0.009313403628766537;-0.010205299593508244;0.9998419880867004;0.011191223748028278;0.01729361706326209;-0.0016469784298417276;0.014721933840559169;-0.00032760476460680366;-0.0017197312554344535;0.0012310493038967252;-0.19477004075422885;-0.1836120549403131;-9.824124534130098;30.106937408447266;28.069805145263672;A;1.0;12
0.7;25.71896743774414;-3.0447957515716566;23.67388343811035;-5.220208644866943;-79.94552839823402;40.44368951408645;247.12437451326846;-0.009314317256212234;-0.010204019024968149;0.9998419284820556;0.011191170662641524;0.017520864423511664;-0.0021285614483146386;0.015411188788101672;-0.0029469293076545;0.00026425771648064256;-0.00023653142852708697;-0.20107390567660333;-0.18331485193222768;-9.820093463659287;30.116987228393555;28.11304473876953;A;1.0;12
0.8;25.66996955871582;-3.3168296813964844;23.720781326293945;-5.579065322875977;-79.9455283459636;40.44368941549251;247.12827657604217;-0.009305723942816256;-0.01020309329032898;0.99984210729599;0.011191972531378273;0.010397448544073536;-0.003641303296921444;0.017772415242738517;0.0012843277072533965;0.0013951016589999199;0.002597159473225475;-0.19352955395355825;-0.18417737105861307;-9.819397644996645;30.106937408447266;28.118709564208984;A;1.0;12
0.9;25.651124954223643;-3.3297836780548096;23.854778289794922;-5.06320858001709;-79.94552835889068;40.44368941896219;247.1300085193813;-0.00930690299719572;-0.010202925652265549;0.9998420476913452;0.01119194645434618;0.010509705891692592;-0.004296606154832963;0.017964327766282675;-0.0014288001693785188;0.002392398659139872;0.0013185685966163876;-0.20085682779550554;-0.1844334060139954;-9.805352048277856;30.106937408447266;28.18934631347656;A;1.0;12
